analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Anthony Codling,4,0.018191408818761606,-0.020946186936462847,-0.013757186433395683,75.75,RBC Capital Markets,1269,1,-75.75,1.4874330849722106,0.5100399652508824,-0.349009725753232,0.549487774823287,0.2857142857142857,0.1569965070923677,,,,,,,,,,4,,,0.549487774823287,0.1569965070923677
Trey Grooms,7,0.023355295686871495,-0.02670112943140257,-0.014799156857037681,14.571428571428571,Stephens Inc,472,1,-14.571428571428571,-0.14039132793646153,0.20368799596139323,1.6460525441531724,0.5697830707260346,0.4117647058823529,0.23461655853424954,0.031504868745068165,2.640047685209838,0.12601947498027266,-0.00021392896198476523,-0.001438425293622605,-0.0018849385266348747,-0.002065904925916532,,,7,0.846412693221278,-0.2948554035357244,0.3536234521605949,0.14560965677200965
Timna Tanners,3,0.01517982140499922,-0.02060730257214288,-0.01650979530639023,46.666666666666664,Wells Fargo Securities,596,1,-46.666666666666664,1.5832888197390023,-0.29926050028261136,0.5994115868331362,0.627813302096509,0.23076923076923078,0.14487999279150207,,,,,,,,,,3,,,0.627813302096509,0.14487999279150207
Keith Hughes,4,0.017202681919814528,-0.021676266577204575,-0.01516440036563088,75.75,Truist Securities,852,1,-75.75,1.2809251201034104,0.09630196504448003,-0.349009725753232,0.34273911979821947,0.2857142857142857,0.09792546279949127,,,,,,,,,,4,,,0.34273911979821947,0.09792546279949127
Brian Brophy,5,0.020739194165983597,-0.024357536874625337,-0.015829755066272485,51.8,Stifel Nicolaus,548,1,-51.8,0.5225096795345074,-0.09932040406760864,0.4320111488522758,0.28506680810639157,0.3333333333333333,0.09502226936879718,,,,,,,,,,5,,,0.28506680810639157,0.09502226936879718
Kathryn I. Thompson,7,0.029585435149847485,-0.03206657879649,-0.016810224979885293,57.42857142857143,Thompson Research Group,2702,1,-57.42857142857143,-1.658044974414145,-0.3875904758941198,0.24846076138161055,-0.5990582296422181,0.4117647058823529,-0.24667103573503096,0.051596594955098864,3.1610824100932584,0.20638637982039545,-0.0021384259325817586,0.0008089753357742405,-0.0028709730659981993,-0.00522878254034436,,,7,0.8798898469604198,2.419046397072651,0.1554679270364992,0.0640162052503232
Brent Thielman,6,0.029651226135554126,-0.029651226135554126,-0.005791326047728291,95.16666666666667,DA Davidson,556,1,-95.16666666666667,-0.9748461360743165,2.8520997405221977,-0.9821964473366814,0.29835238570373324,0.375,0.11188214463889996,0.028502133898315966,19.954993688560236,0.11400853559326386,-0.0005059011395354835,-0.000637039477926659,0.0007382520407712154,0.002327290545712314,,,6,0.9916286837838425,-0.7004515888591086,0.04865139206302277,0.01824427202363354
Philip Ng,7,0.02477444785827685,-0.02764273581887706,-0.015129854284946714,51.0,Jefferies,512,1,-51.0,-0.40673106395110836,0.10645893265958385,0.4580995287973449,0.052609132501940124,0.4117647058823529,0.02166258397138711,0.033733557556818373,2.2594643112261066,0.1349342302272735,-0.0004940521954934479,-0.0015084336344393487,-0.0021188422615428144,-0.0018592635853433056,,,7,0.7699928740524808,0.0061860558180753845,0.04100336333097394,0.01688373784216574
Garik Shmois,6,0.024015517004739115,-0.026564778493603888,-0.01500196326518447,60.666666666666664,Loop Capital Markets,1009,1,-60.666666666666664,-0.10182354286009432,0.14406044693448974,0.14286493779442605,0.061700613956273825,0.375,0.023137730233602685,0.030576463825952208,2.1374941124077105,0.12230585530380883,-0.0003831106719165468,-0.0019807154982324246,-0.0019388196375111683,-0.0014890871107416295,,,6,0.8781804091515771,-0.4202602470690079,-0.0587896013000466,-0.022046100487517477
Adam R. Thalhimer,5,0.019334764185336046,-0.023209694281720795,-0.015441328166269919,104.8,Thompson Davis & Co,1020,1,-104.8,0.8471847213006672,0.014881825708619893,-1.2963440225085556,-0.14475915849975618,0.3333333333333333,-0.048253052833252055,,,,,,,,,,5,,,-0.14475915849975618,-0.048253052833252055
Rohit Seth,7,0.026676500613400992,-0.029815560638871755,-0.017435535552366332,22.714285714285715,B Riley Securities,765,2,-22.714285714285715,-1.0213292619472292,-0.5714393846064484,1.3805101054265756,-0.07075284704236735,0.4117647058823529,-0.029133525252739496,0.03034405664830664,3.151019689754494,0.12137622659322655,-0.0005595502669571491,-0.001987775122527211,-0.0011345821370530162,-0.002214856553786098,,,7,0.7021176157652782,-0.4516527840413528,-0.16597783129211371,-0.068343812884988
Patrick Tyler Brown,6,0.022731697169745713,-0.026651617781169337,-0.016211928444155806,68.33333333333333,Raymond James,402,1,-68.33333333333333,-0.12638662275584137,-0.21168402233168906,-0.10714870334581994,-0.14840644947778345,0.375,-0.05565241855416879,0.03065259929565773,2.1001953168988643,0.12261039718263092,-0.0005216425080114898,-0.0019924280137631947,-0.0022053663584501552,-0.001752829645884215,,,6,0.8914088184010613,-0.40997620346996533,-0.2137988879758289,-0.08017458299093584
Yassine Touahri,3,0.017421402247906028,-0.026028812579386232,-0.022918046474450105,36.666666666666664,On Field Investment Research,3284,1,-36.666666666666664,0.04977804141595383,-2.1833642334528003,0.9255163361465006,-0.40268995196344864,0.23076923076923078,-0.09292845045310354,,,,,,,,,,3,,,-0.40268995196344864,-0.09292845045310354
Michael S. Dudas,5,0.023391951222342267,-0.02635035380137447,-0.016618787368114698,85.4,Vertical Research Partners,2963,1,-85.4,-0.041172068227917316,-0.3313054911850446,-0.6637008088406289,-0.3453927894178636,0.3333333333333333,-0.11513092980595453,,,,,,,,,,5,,,-0.3453927894178636,-0.11513092980595453
